candidate_id,experiment_slug,source_path,raw_source_path,raw_span_line_start,raw_span_line_end,report_path,workspace_path,raw_fingerprint
VF-01-almheiri-r01-001,01-almheiri-r01,/Users/sergio/GitHub/gpd-stress-test/automation/runs/full-main-pass-20260409T013855/bugs/BUGS-RAW.json,/Users/sergio/GitHub/gpd-stress-test/automation/runs/full-main-pass-20260409T013855/workspaces/01-almheiri-r01/HANDOFF.md,17,27,/Users/sergio/GitHub/gpd-stress-test/automation/runs/full-main-pass-20260409T013855/workspaces/01-almheiri-r01/results/01-almheiri-r01-report.md,/Users/sergio/GitHub/gpd-stress-test/automation/runs/full-main-pass-20260409T013855/workspaces/01-almheiri-r01,7113bbd2f97f
VF-01-almheiri-r01-002,01-almheiri-r01,/Users/sergio/GitHub/gpd-stress-test/automation/runs/full-main-pass-20260409T013855/bugs/BUGS-RAW.json,/Users/sergio/GitHub/gpd-stress-test/automation/runs/full-main-pass-20260409T013855/workspaces/01-almheiri-r01/HANDOFF.md,45,48,/Users/sergio/GitHub/gpd-stress-test/automation/runs/full-main-pass-20260409T013855/workspaces/01-almheiri-r01/results/01-almheiri-r01-report.md,/Users/sergio/GitHub/gpd-stress-test/automation/runs/full-main-pass-20260409T013855/workspaces/01-almheiri-r01,a97b6d43c3ef
VF-01-almheiri-r01-003,01-almheiri-r01,/Users/sergio/GitHub/gpd-stress-test/automation/runs/full-main-pass-20260409T013855/bugs/BUGS-RAW.json,/Users/sergio/GitHub/gpd-stress-test/automation/runs/full-main-pass-20260409T013855/workspaces/01-almheiri-r01/HANDOFF.md,52,67,/Users/sergio/GitHub/gpd-stress-test/automation/runs/full-main-pass-20260409T013855/workspaces/01-almheiri-r01/results/01-almheiri-r01-report.md,/Users/sergio/GitHub/gpd-stress-test/automation/runs/full-main-pass-20260409T013855/workspaces/01-almheiri-r01,52b201136f0a
VF-01-almheiri-r01-004,01-almheiri-r01,/Users/sergio/GitHub/gpd-stress-test/automation/runs/full-main-pass-20260409T013855/bugs/BUGS-RAW.json,/Users/sergio/GitHub/gpd-stress-test/automation/runs/full-main-pass-20260409T013855/workspaces/01-almheiri-r01/journal.md,5,7,/Users/sergio/GitHub/gpd-stress-test/automation/runs/full-main-pass-20260409T013855/workspaces/01-almheiri-r01/results/01-almheiri-r01-report.md,/Users/sergio/GitHub/gpd-stress-test/automation/runs/full-main-pass-20260409T013855/workspaces/01-almheiri-r01,2d822b17698e
VF-01-almheiri-r01-005,01-almheiri-r01,/Users/sergio/GitHub/gpd-stress-test/automation/runs/full-main-pass-20260409T013855/bugs/BUGS-RAW.json,/Users/sergio/GitHub/gpd-stress-test/automation/runs/full-main-pass-20260409T013855/workspaces/01-almheiri-r01/journal.md,17,19,/Users/sergio/GitHub/gpd-stress-test/automation/runs/full-main-pass-20260409T013855/workspaces/01-almheiri-r01/results/01-almheiri-r01-report.md,/Users/sergio/GitHub/gpd-stress-test/automation/runs/full-main-pass-20260409T013855/workspaces/01-almheiri-r01,f652e35f411d
VF-01-almheiri-r01-006,01-almheiri-r01,/Users/sergio/GitHub/gpd-stress-test/automation/runs/full-main-pass-20260409T013855/bugs/BUGS-RAW.json,/Users/sergio/GitHub/gpd-stress-test/automation/runs/full-main-pass-20260409T013855/workspaces/01-almheiri-r01/journal.md,35,41,/Users/sergio/GitHub/gpd-stress-test/automation/runs/full-main-pass-20260409T013855/workspaces/01-almheiri-r01/results/01-almheiri-r01-report.md,/Users/sergio/GitHub/gpd-stress-test/automation/runs/full-main-pass-20260409T013855/workspaces/01-almheiri-r01,09129cf74d96
VF-01-almheiri-r01-007,01-almheiri-r01,/Users/sergio/GitHub/gpd-stress-test/automation/runs/full-main-pass-20260409T013855/bugs/BUGS-RAW.json,/Users/sergio/GitHub/gpd-stress-test/automation/runs/full-main-pass-20260409T013855/workspaces/01-almheiri-r01/journal.md,45,52,/Users/sergio/GitHub/gpd-stress-test/automation/runs/full-main-pass-20260409T013855/workspaces/01-almheiri-r01/results/01-almheiri-r01-report.md,/Users/sergio/GitHub/gpd-stress-test/automation/runs/full-main-pass-20260409T013855/workspaces/01-almheiri-r01,e1f1a0eebb49
VF-01-almheiri-r01-008,01-almheiri-r01,/Users/sergio/GitHub/gpd-stress-test/automation/runs/full-main-pass-20260409T013855/bugs/BUGS-RAW.json,/Users/sergio/GitHub/gpd-stress-test/automation/runs/full-main-pass-20260409T013855/workspaces/01-almheiri-r01/journal.md,56,67,/Users/sergio/GitHub/gpd-stress-test/automation/runs/full-main-pass-20260409T013855/workspaces/01-almheiri-r01/results/01-almheiri-r01-report.md,/Users/sergio/GitHub/gpd-stress-test/automation/runs/full-main-pass-20260409T013855/workspaces/01-almheiri-r01,d081746a2c2b
VF-01-almheiri-r01-009,01-almheiri-r01,/Users/sergio/GitHub/gpd-stress-test/automation/runs/full-main-pass-20260409T013855/bugs/BUGS-RAW.json,/Users/sergio/GitHub/gpd-stress-test/automation/runs/full-main-pass-20260409T013855/workspaces/01-almheiri-r01/results/01-almheiri-r01-report.md,7,7,/Users/sergio/GitHub/gpd-stress-test/automation/runs/full-main-pass-20260409T013855/workspaces/01-almheiri-r01/results/01-almheiri-r01-report.md,/Users/sergio/GitHub/gpd-stress-test/automation/runs/full-main-pass-20260409T013855/workspaces/01-almheiri-r01,ee8e5f2f50d8
VF-01-almheiri-r01-010,01-almheiri-r01,/Users/sergio/GitHub/gpd-stress-test/automation/runs/full-main-pass-20260409T013855/bugs/BUGS-RAW.json,/Users/sergio/GitHub/gpd-stress-test/automation/runs/full-main-pass-20260409T013855/workspaces/01-almheiri-r01/journal.md,11,13,/Users/sergio/GitHub/gpd-stress-test/automation/runs/full-main-pass-20260409T013855/workspaces/01-almheiri-r01/results/01-almheiri-r01-report.md,/Users/sergio/GitHub/gpd-stress-test/automation/runs/full-main-pass-20260409T013855/workspaces/01-almheiri-r01,a55a2bd457fa
