candidate_id,finding_count,split_decision
VF-01-almheiri-r01-001,11,split
VF-01-almheiri-r01-002,1,single
VF-01-almheiri-r01-003,16,split
VF-01-almheiri-r01-004,3,split
VF-01-almheiri-r01-005,3,split
VF-01-almheiri-r01-006,7,split
VF-01-almheiri-r01-007,8,split
VF-01-almheiri-r01-008,12,split
VF-01-almheiri-r01-009,1,single
VF-01-almheiri-r01-010,3,split
VF-01-almheiri-r01-011,4,split
VF-01-almheiri-r02-001,19,split
VF-01-almheiri-r02-002,11,split
VF-01-almheiri-r02-003,9,split
VF-01-almheiri-r02-004,3,split
VF-01-almheiri-r02-005,4,split
VF-01-almheiri-r02-006,4,split
VF-01-almheiri-r02-007,8,split
VF-01-almheiri-r02-008,8,split
VF-01-almheiri-r02-009,12,split
VF-01-almheiri-r02-010,12,split
VF-01-almheiri-r02-011,10,split
VF-01-almheiri-r03-001,41,split
VF-01-almheiri-r03-002,1,single
VF-01-almheiri-r03-003,1,single
VF-01-almheiri-r03-004,7,split
VF-01-almheiri-r03-005,2,split
VF-01-almheiri-r03-006,6,split
VF-01-almheiri-r03-007,4,split
VF-01-almheiri-r03-008,1,single
VF-01-almheiri-r03-009,1,single
VF-01-almheiri-r03-010,1,single
VF-01-almheiri-r03-011,1,single
VF-01-almheiri-r03-012,4,split
VF-01-almheiri-r03-013,6,split
VF-01-almheiri-r03-014,1,single
VF-01-almheiri-r03-015,1,single
VF-01-almheiri-r03-016,1,single
VF-02-maloney-r01-001,7,split
VF-02-maloney-r01-002,13,split
VF-02-maloney-r01-003,1,single
VF-02-maloney-r01-004,10,split
VF-02-maloney-r01-005,8,split
VF-02-maloney-r01-006,1,single
VF-02-maloney-r01-007,5,split
VF-02-maloney-r01-008,8,split
VF-02-maloney-r01-009,9,split
VF-02-maloney-r01-010,25,split
VF-02-maloney-r01-011,12,split
VF-02-maloney-r01-012,24,split
VF-02-maloney-r01-013,20,split
VF-02-maloney-r02-001,4,split
VF-02-maloney-r02-002,12,split
VF-02-maloney-r02-003,1,single
VF-02-maloney-r02-004,1,single
VF-02-maloney-r02-005,1,single
VF-02-maloney-r02-006,9,split
VF-02-maloney-r02-007,5,split
VF-02-maloney-r02-008,7,split
VF-02-maloney-r02-009,5,split
VF-02-maloney-r02-010,3,split
VF-02-maloney-r02-011,6,split
VF-02-maloney-r02-012,16,split
VF-02-maloney-r02-013,7,split
VF-02-maloney-r02-014,13,split
VF-02-maloney-r02-015,2,split
VF-02-maloney-r02-016,23,split
VF-02-maloney-r02-017,8,split
VF-02-maloney-r02-018,14,split
VF-02-maloney-r02-019,6,split
VF-02-maloney-r02-020,5,split
VF-02-maloney-r02-021,41,split
VF-02-maloney-r02-022,1,single
VF-02-maloney-r02-023,4,split
VF-02-maloney-r02-024,3,split
VF-02-maloney-r02-025,12,split
VF-02-maloney-r02-026,1,single
VF-02-maloney-r03-001,20,split
VF-02-maloney-r03-002,3,split
VF-02-maloney-r03-003,4,split
VF-02-maloney-r03-004,13,split
VF-02-maloney-r03-005,18,split
VF-02-maloney-r03-006,19,split
VF-02-maloney-r03-007,7,split
VF-02-maloney-r03-008,1,single
VF-02-maloney-r03-009,11,split
VF-02-maloney-r03-010,10,split
VF-02-maloney-r03-011,13,split
VF-02-maloney-r03-012,3,split
VF-02-maloney-r03-013,23,split
VF-03-shahbazi-r01-001,22,split
VF-03-shahbazi-r01-002,1,single
