candidate_id,atomic_finding_id,claim_index,atomization_method,heuristic_only
VF-01-almheiri-r01-001,AF-000001,1,markdown_bullet,False
VF-01-almheiri-r01-001,AF-000002,2,markdown_bullet,False
VF-01-almheiri-r01-001,AF-000003,3,markdown_bullet,False
VF-01-almheiri-r01-001,AF-000004,4,markdown_bullet,False
VF-01-almheiri-r01-001,AF-000005,5,markdown_bullet,False
VF-01-almheiri-r01-001,AF-000006,6,markdown_bullet,False
VF-01-almheiri-r01-001,AF-000007,7,markdown_bullet,False
VF-01-almheiri-r01-001,AF-000008,8,markdown_bullet,False
VF-01-almheiri-r01-001,AF-000009,9,markdown_bullet,False
VF-01-almheiri-r01-001,AF-000010,10,markdown_bullet,False
VF-01-almheiri-r01-001,AF-000011,11,markdown_bullet,False
VF-01-almheiri-r01-002,AF-000012,1,single_excerpt,False
VF-01-almheiri-r01-003,AF-000013,1,markdown_bullet,False
VF-01-almheiri-r01-003,AF-000014,2,markdown_bullet,False
VF-01-almheiri-r01-003,AF-000015,3,markdown_bullet,False
VF-01-almheiri-r01-003,AF-000016,4,markdown_bullet,False
VF-01-almheiri-r01-003,AF-000017,5,markdown_bullet,False
VF-01-almheiri-r01-003,AF-000018,6,markdown_bullet,False
VF-01-almheiri-r01-003,AF-000019,7,markdown_bullet,False
VF-01-almheiri-r01-003,AF-000020,8,markdown_bullet,False
VF-01-almheiri-r01-003,AF-000021,9,markdown_bullet,False
VF-01-almheiri-r01-003,AF-000022,10,markdown_bullet,False
VF-01-almheiri-r01-003,AF-000023,11,markdown_bullet,False
VF-01-almheiri-r01-003,AF-000024,12,markdown_bullet,False
VF-01-almheiri-r01-003,AF-000025,13,markdown_bullet,False
VF-01-almheiri-r01-003,AF-000026,14,markdown_bullet,False
VF-01-almheiri-r01-003,AF-000027,15,markdown_bullet,False
VF-01-almheiri-r01-003,AF-000028,16,markdown_bullet,False
VF-01-almheiri-r01-004,AF-000029,1,markdown_bullet,False
VF-01-almheiri-r01-004,AF-000030,2,markdown_bullet,False
VF-01-almheiri-r01-004,AF-000031,3,markdown_bullet,False
VF-01-almheiri-r01-005,AF-000032,1,markdown_bullet,False
VF-01-almheiri-r01-005,AF-000033,2,markdown_bullet,False
VF-01-almheiri-r01-005,AF-000034,3,markdown_bullet,False
VF-01-almheiri-r01-006,AF-000035,1,markdown_bullet,False
VF-01-almheiri-r01-006,AF-000036,2,markdown_bullet,False
VF-01-almheiri-r01-006,AF-000037,3,markdown_bullet,False
VF-01-almheiri-r01-006,AF-000038,4,markdown_bullet,False
VF-01-almheiri-r01-006,AF-000039,5,markdown_bullet,False
VF-01-almheiri-r01-006,AF-000040,6,markdown_bullet,False
VF-01-almheiri-r01-006,AF-000041,7,markdown_bullet,False
VF-01-almheiri-r01-007,AF-000042,1,markdown_bullet,False
VF-01-almheiri-r01-007,AF-000043,2,markdown_bullet,False
VF-01-almheiri-r01-007,AF-000044,3,markdown_bullet,False
VF-01-almheiri-r01-007,AF-000045,4,markdown_bullet,False
VF-01-almheiri-r01-007,AF-000046,5,markdown_bullet,False
VF-01-almheiri-r01-007,AF-000047,6,markdown_bullet,False
VF-01-almheiri-r01-007,AF-000048,7,markdown_bullet,False
VF-01-almheiri-r01-007,AF-000049,8,markdown_bullet,False
VF-01-almheiri-r01-008,AF-000050,1,markdown_bullet,False
VF-01-almheiri-r01-008,AF-000051,2,markdown_bullet,False
VF-01-almheiri-r01-008,AF-000052,3,markdown_bullet,False
VF-01-almheiri-r01-008,AF-000053,4,markdown_bullet,False
VF-01-almheiri-r01-008,AF-000054,5,markdown_bullet,False
VF-01-almheiri-r01-008,AF-000055,6,markdown_bullet,False
VF-01-almheiri-r01-008,AF-000056,7,markdown_bullet,False
VF-01-almheiri-r01-008,AF-000057,8,markdown_bullet,False
VF-01-almheiri-r01-008,AF-000058,9,markdown_bullet,False
VF-01-almheiri-r01-008,AF-000059,10,markdown_bullet,False
VF-01-almheiri-r01-008,AF-000060,11,markdown_bullet,False
VF-01-almheiri-r01-008,AF-000061,12,markdown_bullet,False
VF-01-almheiri-r01-009,AF-000062,1,single_excerpt,False
VF-01-almheiri-r01-010,AF-000063,1,markdown_bullet,False
VF-01-almheiri-r01-010,AF-000064,2,markdown_bullet,False
VF-01-almheiri-r01-010,AF-000065,3,markdown_bullet,False
VF-01-almheiri-r01-011,AF-000066,1,markdown_bullet,False
VF-01-almheiri-r01-011,AF-000067,2,markdown_bullet,False
VF-01-almheiri-r01-011,AF-000068,3,markdown_bullet,False
VF-01-almheiri-r01-011,AF-000069,4,markdown_bullet,False
VF-01-almheiri-r02-001,AF-000070,1,markdown_bullet,False
VF-01-almheiri-r02-001,AF-000071,2,markdown_bullet,False
VF-01-almheiri-r02-001,AF-000072,3,markdown_bullet,False
VF-01-almheiri-r02-001,AF-000073,4,markdown_bullet,False
VF-01-almheiri-r02-001,AF-000074,5,markdown_bullet,False
VF-01-almheiri-r02-001,AF-000075,6,markdown_bullet,False
VF-01-almheiri-r02-001,AF-000076,7,markdown_bullet,False
VF-01-almheiri-r02-001,AF-000077,8,markdown_bullet,False
VF-01-almheiri-r02-001,AF-000078,9,markdown_bullet,False
VF-01-almheiri-r02-001,AF-000079,10,markdown_bullet,False
VF-01-almheiri-r02-001,AF-000080,11,markdown_bullet,False
VF-01-almheiri-r02-001,AF-000081,12,markdown_bullet,False
VF-01-almheiri-r02-001,AF-000082,13,markdown_bullet,False
VF-01-almheiri-r02-001,AF-000083,14,markdown_bullet,False
VF-01-almheiri-r02-001,AF-000084,15,markdown_bullet,False
VF-01-almheiri-r02-001,AF-000085,16,markdown_bullet,False
VF-01-almheiri-r02-001,AF-000086,17,markdown_bullet,False
VF-01-almheiri-r02-001,AF-000087,18,markdown_bullet,False
VF-01-almheiri-r02-001,AF-000088,19,markdown_bullet,False
VF-01-almheiri-r02-002,AF-000089,1,markdown_bullet,False
VF-01-almheiri-r02-002,AF-000090,2,markdown_bullet,False
VF-01-almheiri-r02-002,AF-000091,3,markdown_bullet,False
VF-01-almheiri-r02-002,AF-000092,4,markdown_bullet,False
VF-01-almheiri-r02-002,AF-000093,5,markdown_bullet,False
VF-01-almheiri-r02-002,AF-000094,6,markdown_bullet,False
VF-01-almheiri-r02-002,AF-000095,7,markdown_bullet,False
VF-01-almheiri-r02-002,AF-000096,8,markdown_bullet,False
VF-01-almheiri-r02-002,AF-000097,9,markdown_bullet,False
VF-01-almheiri-r02-002,AF-000098,10,markdown_bullet,False
VF-01-almheiri-r02-002,AF-000099,11,markdown_bullet,False
VF-01-almheiri-r02-003,AF-000100,1,markdown_bullet,False
VF-01-almheiri-r02-003,AF-000101,2,markdown_bullet,False
VF-01-almheiri-r02-003,AF-000102,3,markdown_bullet,False
VF-01-almheiri-r02-003,AF-000103,4,markdown_bullet,False
VF-01-almheiri-r02-003,AF-000104,5,markdown_bullet,False
VF-01-almheiri-r02-003,AF-000105,6,markdown_bullet,False
VF-01-almheiri-r02-003,AF-000106,7,markdown_bullet,False
VF-01-almheiri-r02-003,AF-000107,8,markdown_bullet,False
VF-01-almheiri-r02-003,AF-000108,9,markdown_bullet,False
VF-01-almheiri-r02-004,AF-000109,1,markdown_bullet,False
VF-01-almheiri-r02-004,AF-000110,2,markdown_bullet,False
VF-01-almheiri-r02-004,AF-000111,3,markdown_bullet,False
VF-01-almheiri-r02-005,AF-000112,1,markdown_bullet,False
VF-01-almheiri-r02-005,AF-000113,2,markdown_bullet,False
VF-01-almheiri-r02-005,AF-000114,3,markdown_bullet,False
VF-01-almheiri-r02-005,AF-000115,4,markdown_bullet,False
VF-01-almheiri-r02-006,AF-000116,1,markdown_bullet,False
VF-01-almheiri-r02-006,AF-000117,2,markdown_bullet,False
VF-01-almheiri-r02-006,AF-000118,3,markdown_bullet,False
VF-01-almheiri-r02-006,AF-000119,4,markdown_bullet,False
VF-01-almheiri-r02-007,AF-000120,1,markdown_bullet,False
VF-01-almheiri-r02-007,AF-000121,2,markdown_bullet,False
VF-01-almheiri-r02-007,AF-000122,3,markdown_bullet,False
VF-01-almheiri-r02-007,AF-000123,4,markdown_bullet,False
VF-01-almheiri-r02-007,AF-000124,5,markdown_bullet,False
VF-01-almheiri-r02-007,AF-000125,6,markdown_bullet,False
VF-01-almheiri-r02-007,AF-000126,7,markdown_bullet,False
VF-01-almheiri-r02-007,AF-000127,8,markdown_bullet,False
VF-01-almheiri-r02-008,AF-000128,1,markdown_bullet,False
VF-01-almheiri-r02-008,AF-000129,2,markdown_bullet,False
VF-01-almheiri-r02-008,AF-000130,3,markdown_bullet,False
VF-01-almheiri-r02-008,AF-000131,4,markdown_bullet,False
VF-01-almheiri-r02-008,AF-000132,5,markdown_bullet,False
VF-01-almheiri-r02-008,AF-000133,6,markdown_bullet,False
VF-01-almheiri-r02-008,AF-000134,7,markdown_bullet,False
VF-01-almheiri-r02-008,AF-000135,8,markdown_bullet,False
VF-01-almheiri-r02-009,AF-000136,1,markdown_bullet,False
VF-01-almheiri-r02-009,AF-000137,2,markdown_bullet,False
VF-01-almheiri-r02-009,AF-000138,3,markdown_bullet,False
VF-01-almheiri-r02-009,AF-000139,4,markdown_bullet,False
VF-01-almheiri-r02-009,AF-000140,5,markdown_bullet,False
VF-01-almheiri-r02-009,AF-000141,6,markdown_bullet,False
VF-01-almheiri-r02-009,AF-000142,7,markdown_bullet,False
VF-01-almheiri-r02-009,AF-000143,8,markdown_bullet,False
VF-01-almheiri-r02-009,AF-000144,9,markdown_bullet,False
VF-01-almheiri-r02-009,AF-000145,10,markdown_bullet,False
VF-01-almheiri-r02-009,AF-000146,11,markdown_bullet,False
VF-01-almheiri-r02-009,AF-000147,12,markdown_bullet,False
VF-01-almheiri-r02-010,AF-000148,1,markdown_bullet,False
VF-01-almheiri-r02-010,AF-000149,2,markdown_bullet,False
VF-01-almheiri-r02-010,AF-000150,3,markdown_bullet,False
VF-01-almheiri-r02-010,AF-000151,4,markdown_bullet,False
VF-01-almheiri-r02-010,AF-000152,5,markdown_bullet,False
VF-01-almheiri-r02-010,AF-000153,6,markdown_bullet,False
VF-01-almheiri-r02-010,AF-000154,7,markdown_bullet,False
VF-01-almheiri-r02-010,AF-000155,8,markdown_bullet,False
VF-01-almheiri-r02-010,AF-000156,9,markdown_bullet,False
VF-01-almheiri-r02-010,AF-000157,10,markdown_bullet,False
VF-01-almheiri-r02-010,AF-000158,11,markdown_bullet,False
VF-01-almheiri-r02-010,AF-000159,12,markdown_bullet,False
VF-01-almheiri-r02-011,AF-000160,1,markdown_bullet,True
VF-01-almheiri-r02-011,AF-000161,2,markdown_bullet,True
VF-01-almheiri-r02-011,AF-000162,3,markdown_bullet,True
VF-01-almheiri-r02-011,AF-000163,4,markdown_bullet,True
VF-01-almheiri-r02-011,AF-000164,5,markdown_bullet,True
VF-01-almheiri-r02-011,AF-000165,6,markdown_bullet,True
VF-01-almheiri-r02-011,AF-000166,7,markdown_bullet,True
VF-01-almheiri-r02-011,AF-000167,8,markdown_bullet,True
VF-01-almheiri-r02-011,AF-000168,9,markdown_bullet,True
VF-01-almheiri-r02-011,AF-000169,10,markdown_bullet,True
VF-01-almheiri-r03-001,AF-000170,1,markdown_bullet,False
VF-01-almheiri-r03-001,AF-000171,2,markdown_bullet,False
VF-01-almheiri-r03-001,AF-000172,3,markdown_bullet,False
VF-01-almheiri-r03-001,AF-000173,4,markdown_bullet,False
VF-01-almheiri-r03-001,AF-000174,5,markdown_bullet,False
VF-01-almheiri-r03-001,AF-000175,6,markdown_bullet,False
VF-01-almheiri-r03-001,AF-000176,7,markdown_bullet,False
VF-01-almheiri-r03-001,AF-000177,8,markdown_bullet,False
VF-01-almheiri-r03-001,AF-000178,9,markdown_bullet,False
VF-01-almheiri-r03-001,AF-000179,10,markdown_bullet,False
VF-01-almheiri-r03-001,AF-000180,11,markdown_bullet,False
VF-01-almheiri-r03-001,AF-000181,12,markdown_bullet,False
VF-01-almheiri-r03-001,AF-000182,13,markdown_bullet,False
VF-01-almheiri-r03-001,AF-000183,14,markdown_bullet,False
VF-01-almheiri-r03-001,AF-000184,15,markdown_bullet,False
VF-01-almheiri-r03-001,AF-000185,16,markdown_bullet,False
VF-01-almheiri-r03-001,AF-000186,17,markdown_bullet,False
VF-01-almheiri-r03-001,AF-000187,18,markdown_bullet,False
VF-01-almheiri-r03-001,AF-000188,19,markdown_bullet,False
VF-01-almheiri-r03-001,AF-000189,20,markdown_bullet,False
VF-01-almheiri-r03-001,AF-000190,21,markdown_bullet,False
VF-01-almheiri-r03-001,AF-000191,22,markdown_bullet,False
VF-01-almheiri-r03-001,AF-000192,23,markdown_bullet,False
VF-01-almheiri-r03-001,AF-000193,24,markdown_bullet,False
VF-01-almheiri-r03-001,AF-000194,25,markdown_bullet,False
VF-01-almheiri-r03-001,AF-000195,26,markdown_bullet,False
VF-01-almheiri-r03-001,AF-000196,27,markdown_bullet,False
VF-01-almheiri-r03-001,AF-000197,28,markdown_bullet,False
VF-01-almheiri-r03-001,AF-000198,29,markdown_bullet,False
VF-01-almheiri-r03-001,AF-000199,30,markdown_bullet,False
VF-01-almheiri-r03-001,AF-000200,31,markdown_bullet,False
VF-01-almheiri-r03-001,AF-000201,32,markdown_bullet,False
VF-01-almheiri-r03-001,AF-000202,33,markdown_bullet,False
VF-01-almheiri-r03-001,AF-000203,34,markdown_bullet,False
VF-01-almheiri-r03-001,AF-000204,35,markdown_bullet,False
VF-01-almheiri-r03-001,AF-000205,36,markdown_bullet,False
VF-01-almheiri-r03-001,AF-000206,37,markdown_bullet,False
VF-01-almheiri-r03-001,AF-000207,38,markdown_bullet,False
VF-01-almheiri-r03-001,AF-000208,39,markdown_bullet,False
VF-01-almheiri-r03-001,AF-000209,40,markdown_bullet,False
VF-01-almheiri-r03-001,AF-000210,41,markdown_bullet,False
VF-01-almheiri-r03-002,AF-000211,1,single_excerpt,True
VF-01-almheiri-r03-003,AF-000212,1,single_excerpt,True
VF-01-almheiri-r03-004,AF-000213,1,markdown_bullet,False
VF-01-almheiri-r03-004,AF-000214,2,markdown_bullet,False
VF-01-almheiri-r03-004,AF-000215,3,markdown_bullet,False
VF-01-almheiri-r03-004,AF-000216,4,markdown_bullet,False
VF-01-almheiri-r03-004,AF-000217,5,markdown_bullet,False
VF-01-almheiri-r03-004,AF-000218,6,markdown_bullet,False
VF-01-almheiri-r03-004,AF-000219,7,markdown_bullet,False
VF-01-almheiri-r03-005,AF-000220,1,markdown_bullet,False
VF-01-almheiri-r03-005,AF-000221,2,markdown_bullet,False
VF-01-almheiri-r03-006,AF-000222,1,markdown_bullet,False
VF-01-almheiri-r03-006,AF-000223,2,markdown_bullet,False
VF-01-almheiri-r03-006,AF-000224,3,markdown_bullet,False
VF-01-almheiri-r03-006,AF-000225,4,markdown_bullet,False
VF-01-almheiri-r03-006,AF-000226,5,markdown_bullet,False
VF-01-almheiri-r03-006,AF-000227,6,markdown_bullet,False
VF-01-almheiri-r03-007,AF-000228,1,markdown_bullet,False
VF-01-almheiri-r03-007,AF-000229,2,markdown_bullet,False
VF-01-almheiri-r03-007,AF-000230,3,markdown_bullet,False
VF-01-almheiri-r03-007,AF-000231,4,markdown_bullet,False
VF-01-almheiri-r03-008,AF-000232,1,single_excerpt,False
VF-01-almheiri-r03-009,AF-000233,1,single_excerpt,False
VF-01-almheiri-r03-010,AF-000234,1,single_excerpt,False
VF-01-almheiri-r03-011,AF-000235,1,single_excerpt,False
VF-01-almheiri-r03-012,AF-000236,1,markdown_bullet,False
VF-01-almheiri-r03-012,AF-000237,2,markdown_bullet,False
VF-01-almheiri-r03-012,AF-000238,3,markdown_bullet,False
VF-01-almheiri-r03-012,AF-000239,4,markdown_bullet,False
VF-01-almheiri-r03-013,AF-000240,1,markdown_bullet,False
VF-01-almheiri-r03-013,AF-000241,2,markdown_bullet,False
VF-01-almheiri-r03-013,AF-000242,3,markdown_bullet,False
VF-01-almheiri-r03-013,AF-000243,4,markdown_bullet,False
VF-01-almheiri-r03-013,AF-000244,5,markdown_bullet,False
VF-01-almheiri-r03-013,AF-000245,6,markdown_bullet,False
VF-01-almheiri-r03-014,AF-000246,1,single_excerpt,False
VF-01-almheiri-r03-015,AF-000247,1,single_excerpt,False
VF-01-almheiri-r03-016,AF-000248,1,single_excerpt,True
VF-02-maloney-r01-001,AF-000249,1,markdown_bullet,False
VF-02-maloney-r01-001,AF-000250,2,markdown_bullet,False
VF-02-maloney-r01-001,AF-000251,3,markdown_bullet,False
VF-02-maloney-r01-001,AF-000252,4,markdown_bullet,False
VF-02-maloney-r01-001,AF-000253,5,markdown_bullet,False
VF-02-maloney-r01-001,AF-000254,6,markdown_bullet,False
VF-02-maloney-r01-001,AF-000255,7,markdown_bullet,False
VF-02-maloney-r01-002,AF-000256,1,markdown_bullet,False
VF-02-maloney-r01-002,AF-000257,2,markdown_bullet,False
VF-02-maloney-r01-002,AF-000258,3,markdown_bullet,False
VF-02-maloney-r01-002,AF-000259,4,markdown_bullet,False
VF-02-maloney-r01-002,AF-000260,5,markdown_bullet,False
VF-02-maloney-r01-002,AF-000261,6,markdown_bullet,False
VF-02-maloney-r01-002,AF-000262,7,markdown_bullet,False
VF-02-maloney-r01-002,AF-000263,8,markdown_bullet,False
VF-02-maloney-r01-002,AF-000264,9,markdown_bullet,False
VF-02-maloney-r01-002,AF-000265,10,markdown_bullet,False
VF-02-maloney-r01-002,AF-000266,11,markdown_bullet,False
VF-02-maloney-r01-002,AF-000267,12,markdown_bullet,False
VF-02-maloney-r01-002,AF-000268,13,markdown_bullet,False
VF-02-maloney-r01-003,AF-000269,1,single_excerpt,True
VF-02-maloney-r01-004,AF-000270,1,markdown_bullet,False
VF-02-maloney-r01-004,AF-000271,2,markdown_bullet,False
VF-02-maloney-r01-004,AF-000272,3,markdown_bullet,False
VF-02-maloney-r01-004,AF-000273,4,markdown_bullet,False
VF-02-maloney-r01-004,AF-000274,5,markdown_bullet,False
VF-02-maloney-r01-004,AF-000275,6,markdown_bullet,False
VF-02-maloney-r01-004,AF-000276,7,markdown_bullet,False
VF-02-maloney-r01-004,AF-000277,8,markdown_bullet,False
VF-02-maloney-r01-004,AF-000278,9,markdown_bullet,False
VF-02-maloney-r01-004,AF-000279,10,markdown_bullet,False
VF-02-maloney-r01-005,AF-000280,1,markdown_bullet,False
VF-02-maloney-r01-005,AF-000281,2,markdown_bullet,False
VF-02-maloney-r01-005,AF-000282,3,markdown_bullet,False
VF-02-maloney-r01-005,AF-000283,4,markdown_bullet,False
VF-02-maloney-r01-005,AF-000284,5,markdown_bullet,False
VF-02-maloney-r01-005,AF-000285,6,markdown_bullet,False
VF-02-maloney-r01-005,AF-000286,7,markdown_bullet,False
VF-02-maloney-r01-005,AF-000287,8,markdown_bullet,False
VF-02-maloney-r01-006,AF-000288,1,single_excerpt,False
VF-02-maloney-r01-007,AF-000289,1,markdown_bullet,False
VF-02-maloney-r01-007,AF-000290,2,markdown_bullet,False
VF-02-maloney-r01-007,AF-000291,3,markdown_bullet,False
VF-02-maloney-r01-007,AF-000292,4,markdown_bullet,False
VF-02-maloney-r01-007,AF-000293,5,markdown_bullet,False
VF-02-maloney-r01-008,AF-000294,1,markdown_bullet,False
VF-02-maloney-r01-008,AF-000295,2,markdown_bullet,False
VF-02-maloney-r01-008,AF-000296,3,markdown_bullet,False
VF-02-maloney-r01-008,AF-000297,4,markdown_bullet,False
VF-02-maloney-r01-008,AF-000298,5,markdown_bullet,False
VF-02-maloney-r01-008,AF-000299,6,markdown_bullet,False
VF-02-maloney-r01-008,AF-000300,7,markdown_bullet,False
VF-02-maloney-r01-008,AF-000301,8,markdown_bullet,False
VF-02-maloney-r01-009,AF-000302,1,markdown_bullet,False
VF-02-maloney-r01-009,AF-000303,2,markdown_bullet,False
VF-02-maloney-r01-009,AF-000304,3,markdown_bullet,False
VF-02-maloney-r01-009,AF-000305,4,markdown_bullet,False
VF-02-maloney-r01-009,AF-000306,5,markdown_bullet,False
VF-02-maloney-r01-009,AF-000307,6,markdown_bullet,False
VF-02-maloney-r01-009,AF-000308,7,markdown_bullet,False
VF-02-maloney-r01-009,AF-000309,8,markdown_bullet,False
VF-02-maloney-r01-009,AF-000310,9,markdown_bullet,False
VF-02-maloney-r01-010,AF-000311,1,markdown_bullet,False
VF-02-maloney-r01-010,AF-000312,2,markdown_bullet,False
VF-02-maloney-r01-010,AF-000313,3,markdown_bullet,False
VF-02-maloney-r01-010,AF-000314,4,markdown_bullet,False
VF-02-maloney-r01-010,AF-000315,5,markdown_bullet,False
VF-02-maloney-r01-010,AF-000316,6,markdown_bullet,False
VF-02-maloney-r01-010,AF-000317,7,markdown_bullet,False
VF-02-maloney-r01-010,AF-000318,8,markdown_bullet,False
VF-02-maloney-r01-010,AF-000319,9,markdown_bullet,False
VF-02-maloney-r01-010,AF-000320,10,markdown_bullet,False
